month,channel,is_complete_month,cost,leads,first_order_orders,first_order_users_proxy,first_order_revenue,first_order_formal_revenue,first_order_net_revenue,first_order_refund_revenue,repeat_leads,repeat_leads_90d,cac,cac_rate,first_order_conversion_rate,channel_roi,repeat_lead_rate,repeat_lead_rate_90d
2025-07,河北灵创-视频-G-公众号,False,2999.88000000,52,1,1,1880.00000000,1880.00000000,1880.00000000,0.00000000,1,0,2999.88000000,1.59568085,0.01923077,0.62669173,0.01923077,0.00000000
2025-07,测试,False,0.00000000,24,2,2,12999.01000000,12999.01000000,12999.01000000,0.00000000,23,22,0.00000000,0.00000000,0.08333333,,0.95833333,0.91666667
2025-07,海波-H-小红书,False,0.00000000,4,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,海波-SP-短直视频,False,70886.70000000,992,34,34,65197.75000000,66820.00000000,65197.75000000,1622.25000000,10,1,2084.90294118,1.08725685,0.03427419,0.91974588,0.01008065,0.00100806
2025-07,深圳巨牛-H-小红书,False,0.00000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,湖南浩娱-DY-短直视频,False,0.00000000,46,0,0,0.00000000,0.00000000,0.00000000,0.00000000,1,1,,,0.00000000,,0.02173913,0.02173913
2025-07,热门好课,False,0.00000000,213,9,9,25944.00000000,25944.00000000,25944.00000000,0.00000000,80,48,0.00000000,0.00000000,0.04225352,,0.37558685,0.22535211
2025-07,爱奇艺,False,92183.24000000,1693,19,19,38809.00000000,38809.00000000,38809.00000000,0.00000000,7,0,4851.74947368,2.37530573,0.01122268,0.42099844,0.00413467,0.00000000
2025-07,王国星-SP-短直视频,False,0.00000000,61,0,0,0.00000000,0.00000000,0.00000000,0.00000000,3,0,,,0.00000000,,0.04918033,0.00000000
2025-07,王溪老师-SY-其他异业,False,0.00000000,34,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,琦亿-太极粉-DY-短直视频,False,0.00000000,88,0,0,0.00000000,0.00000000,0.00000000,0.00000000,2,2,,,0.00000000,,0.02272727,0.02272727
2025-07,瑜伽与普拉提-代播,False,246.98000000,2,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,0.00000000,0.00000000,0.00000000
2025-07,瑜伽与普拉提-代播2,False,123.49000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,1,0,,,0.00000000,0.00000000,1.00000000,0.00000000
2025-07,瑜伽书,False,576.15000000,6,1,1,1880.00000000,1880.00000000,1880.00000000,0.00000000,0,0,576.15000000,0.30646277,0.16666667,3.26303914,0.00000000,0.00000000
2025-07,电商品2,False,5943.86000000,52,0,0,0.00000000,0.00000000,0.00000000,0.00000000,2,1,,,0.00000000,0.00000000,0.03846154,0.01923077
2025-07,电商品3,False,142.76000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,0.00000000,0.00000000,0.00000000
